 X ,YCOO, ZCOO ,SCAL
  2.200000000000000E-005 ,  3.000000000000000E-005 , 0,  3.396981862859898E-006
  2.200000000000000E-005 ,  3.400000000000000E-005 , 0,  3.854697329134165E-006
  2.200000000000000E-005 ,  3.800000000000000E-005 , 0,  4.287764335419018E-006
  2.200000000000000E-005 ,  4.200000000000000E-005 , 0,  4.717261452599061E-006
  2.200000000000000E-005 ,  4.700000000000000E-005 , 0,  5.238783806289931E-006
  2.200000000000000E-005 ,  5.450000000000000E-005 , 0,  5.991317274988158E-006
  2.200000000000000E-005 ,  6.549999999999999E-005 , 0,  7.026024765123189E-006
  2.200000000000000E-005 ,  8.150000000000000E-005 , 0,  8.300274531221940E-006
  2.200000000000000E-005 ,  1.050000000000000E-004 , 0,  9.633087425404346E-006
  2.200000000000000E-005 ,  1.400000000000000E-004 , 0,  1.054567961897146E-005
  2.200000000000000E-005 ,  1.955000000000000E-004 , 0,  1.091544299895298E-005
  2.200000000000000E-005 ,  2.650000000000000E-004 , 0,  1.097943865511637E-005
  2.600000000000000E-005 ,  2.000000000000000E-006 , 0,  7.186839432362133E-008
  2.600000000000000E-005 ,  6.000000000000000E-006 , 0,  7.586924645707091E-007
  2.600000000000000E-005 ,  9.999999999999999E-006 , 0,  1.311102565526237E-006
  2.600000000000000E-005 ,  1.400000000000000E-005 , 0,  1.864045697788694E-006
  2.600000000000000E-005 ,  1.800000000000000E-005 , 0,  2.402240372978715E-006
  2.600000000000000E-005 ,  2.200000000000000E-005 , 0,  2.956447633858548E-006
  2.600000000000000E-005 ,  2.600000000000000E-005 , 0,  3.483380878189028E-006
  2.600000000000000E-005 ,  3.000000000000000E-005 , 0,  4.043549639666156E-006
  2.600000000000000E-005 ,  3.400000000000000E-005 , 0,  6.367695233965922E-006
  2.600000000000000E-005 ,  3.800000000000000E-005 , 0,  4.865589809461711E-005
  2.600000000000000E-005 ,  4.200000000000000E-005 , 0,  1.013505332613841E-004
  2.600000000000000E-005 ,  4.700000000000000E-005 , 0,  1.420746403089412E-004
  2.600000000000000E-005 ,  5.450000000000000E-005 , 0,  1.073686884015355E-004
  2.600000000000000E-005 ,  6.549999999999999E-005 , 0,  3.201423215131877E-005
  2.600000000000000E-005 ,  8.150000000000000E-005 , 0,  9.883752461762880E-006
  2.600000000000000E-005 ,  1.050000000000000E-004 , 0,  1.144660164123885E-005
  2.600000000000000E-005 ,  1.400000000000000E-004 , 0,  1.248790770503418E-005
  2.600000000000000E-005 ,  1.955000000000000E-004 , 0,  1.290460937069196E-005
  2.600000000000000E-005 ,  2.650000000000000E-004 , 0,  1.297294336587393E-005
  3.000000000000000E-005 ,  2.000000000000000E-006 , 0,  8.047476943938102E-008
  3.000000000000000E-005 ,  6.000000000000000E-006 , 0,  8.730661032943828E-007
  3.000000000000000E-005 ,  9.999999999999999E-006 , 0,  1.513533967728681E-006
  3.000000000000000E-005 ,  1.400000000000000E-005 , 0,  2.140923480522366E-006
  3.000000000000000E-005 ,  1.800000000000000E-005 , 0,  2.777990500852768E-006
  3.000000000000000E-005 ,  2.200000000000000E-005 , 0,  3.396433609315416E-006
  3.000000000000000E-005 ,  2.600000000000000E-005 , 0,  4.045192621866357E-006
  3.000000000000000E-005 ,  3.000000000000000E-005 , 0,  2.286299938217481E-005
  3.000000000000000E-005 ,  3.400000000000000E-005 , 0,  2.815071003313668E-004
  3.000000000000000E-005 ,  3.800000000000000E-005 , 0,  1.125151279643957E-003
  3.000000000000000E-005 ,  4.200000000000000E-005 , 0,  1.804172786696038E-003
  3.000000000000000E-005 ,  4.700000000000000E-005 , 0,  2.194007670366094E-003
  3.000000000000000E-005 ,  5.450000000000000E-005 , 0,  2.177885333560958E-003
  3.000000000000000E-005 ,  6.549999999999999E-005 , 0,  1.408791555581058E-003
  3.000000000000000E-005 ,  8.150000000000000E-005 , 0,  1.659205193780412E-004
  3.000000000000000E-005 ,  1.050000000000000E-004 , 0,  1.328892411510074E-005
  3.000000000000000E-005 ,  1.400000000000000E-004 , 0,  1.443595897763755E-005
  3.000000000000000E-005 ,  1.955000000000000E-004 , 0,  1.488943829306430E-005
  3.000000000000000E-005 ,  2.650000000000000E-004 , 0,  1.496121486382681E-005
  3.400000000000000E-005 ,  2.000000000000000E-006 , 0,  8.839579237617063E-008
  3.400000000000000E-005 ,  6.000000000000000E-006 , 0,  9.879828193482421E-007
  3.400000000000000E-005 ,  9.999999999999999E-006 , 0,  1.706708628151015E-006
  3.400000000000000E-005 ,  1.400000000000000E-005 , 0,  2.425002758507861E-006
  3.400000000000000E-005 ,  1.800000000000000E-005 , 0,  3.132352159622452E-006
  3.400000000000000E-005 ,  2.200000000000000E-005 , 0,  3.855822282937487E-006
  3.400000000000000E-005 ,  2.600000000000000E-005 , 0,  6.377798047313950E-006
  3.400000000000000E-005 ,  3.000000000000000E-005 , 0,  2.817840024865018E-004
  3.400000000000000E-005 ,  3.400000000000000E-005 , 0,  1.681511267014216E-003
  3.400000000000000E-005 ,  3.800000000000000E-005 , 0,  2.788363196576777E-003
  3.400000000000000E-005 ,  4.200000000000000E-005 , 0,  3.433386820221896E-003
  3.400000000000000E-005 ,  4.700000000000000E-005 , 0,  3.945704938915976E-003
